word,translation
ciao,hello / bye
grazie,thank you
prego,you're welcome
per favore,please
sì,yes
no,no
scusa,sorry / excuse me
buongiorno,good morning
buonasera,good evening
buonanotte,good night
come stai?,how are you?
bene,good / well
acqua,water
pane,bread
casa,house
cane,dog
gatto,cat
amico,friend
famiglia,family
tempo,time / weather
oggi,today
domani,tomorrow
ieri,yesterday
mangiare,to eat
bere,to drink
dormire,to sleep
parlare,to speak
capire,to understand
lavorare,to work
uno,one
due,two
tre,three
rosso,red
blu,blue
verde,green
grande,big
piccolo,small
bello,beautiful
buono,good
caldo,hot
freddo,cold
